Penguin ID,Title,Authors,URL,ISBN,Image
34509,The Homeric Hymns,Homer,https://www.penguin.co.uk/books/34509/the-homeric-hymns-by-ed-jules-cashford/9780140437829,9780140437829,https://cdn.penguin.co.uk/dam-assets/books/9780140437829/9780140437829-jacket-large.jpg
35457,The Swindler and Lazarillo de Tormes,Francisco de Quevedo,https://www.penguin.co.uk/books/35457/the-swindler-and-lazarillo-de-tormes-by-anon-francisco-de-quevedo-trans-michael-alpert/9780140449006,9780140449006,https://cdn.penguin.co.uk/dam-assets/books/9780140449006/9780140449006-jacket-large.jpg
60348,Alice's Adventures in Wonderland and Through the Looking Glass,"John Tenniel, Lewis Carroll",https://www.penguin.co.uk/books/60348/alices-adventures-in-wonderland-and-through-the-looking-glass-by-carroll-lewis/9780141439761,9780141439761,https://cdn.penguin.co.uk/dam-assets/books/9780141439761/9780141439761-jacket-large.jpg
60346,Bleak House,Charles Dickens,https://www.penguin.co.uk/books/60346/bleak-house-by-charles-dickens-ed-nicola-bradbury-intro-nicola-bradbury-preface-professor-terry-eagleton/9780141439723,9780141439723,https://cdn.penguin.co.uk/dam-assets/books/9780141439723/9780141439723-jacket-large.jpg
34581,Confessions of an English Opium Eater,Thomas De Quincey,https://www.penguin.co.uk/books/34581/confessions-of-an-english-opium-eater-by-thomas-de-quincey-ed--barry-milligan/9780140439014,9780140439014,https://cdn.penguin.co.uk/dam-assets/books/9780140439014/9780140439014-jacket-large.jpg
55632,Dracula,"Bram Stoker, Ang Lee",https://www.penguin.co.uk/books/55632/dracula-by-bram-stoker/9780141439846,9780141439846,https://cdn.penguin.co.uk/dam-assets/books/9780141439846/9780141439846-jacket-large.jpg
35485,Medea and Other Plays,Euripides,https://www.penguin.co.uk/books/35485/medea-and-other-plays-by-euripides-trans-john-davie-intro-richard-rutherford/9780140449297,9780140449297,https://cdn.penguin.co.uk/dam-assets/books/9780140449297/9780140449297-jacket-large.jpg
55733,Oliver Twist,Charles Dickens,https://www.penguin.co.uk/books/55733/oliver-twist-by-dickens-charles/9780141439747,9780141439747,https://cdn.penguin.co.uk/dam-assets/books/9780141439747/9780141439747-jacket-large.jpg
34521,Plays Pleasant,George Bernard Shaw,https://www.penguin.co.uk/books/34521/plays-pleasant-by-george-bernard-shaw-ed-dan-laurence/9780140437942,9780140437942,https://cdn.penguin.co.uk/dam-assets/books/9780140437942/9780140437942-jacket-large.jpg
60351,Robinson Crusoe,Daniel Defoe,https://www.penguin.co.uk/books/60351/robinson-crusoe-by-daniel-defoe-ed--john-richetti-intro--john-richetti/9780141439822,9780141439822,https://cdn.penguin.co.uk/dam-assets/books/9780141439822/9780141439822-jacket-large.jpg
60347,Silas Marner,George Eliot,https://www.penguin.co.uk/books/60347/silas-marner-by-george-eliot-ed-david-carroll-intro-david-carroll-preface--q-d-leavis/9780141439754,9780141439754,https://cdn.penguin.co.uk/dam-assets/books/9780141439754/9780141439754-jacket-large.jpg
35488,The Aeneid,Virgil,https://www.penguin.co.uk/books/35488/the-aeneid-by-virgil-trans-david-west-intro-david-west/9780140449327,9780140449327,https://cdn.penguin.co.uk/dam-assets/books/9780140449327/9780140449327-jacket-large.jpg
133450,The Autobiography and Other Writings,Richard Neville,https://www.penguin.co.uk/books/133450/the-autobiography-and-other-writings-by-franklin-benjamin/9780142437605,9780142437605,https://cdn.penguin.co.uk/dam-assets/books/9780142437605/9780142437605-jacket-large.jpg
35482,The Count of Monte Cristo,Alexandre Dumas,https://www.penguin.co.uk/books/35482/the-count-of-monte-cristo-by-alexandre-dumas-trans--robin-buss-intro--robin-buss/9780140449266,9780140449266,https://cdn.penguin.co.uk/dam-assets/books/9780140449266/9780140449266-jacket-large.jpg
35486,The Decameron,Giovanni Boccaccio,https://www.penguin.co.uk/books/35486/the-decameron-by-giovanni-boccaccio-trans--g-h-mcwilliam-intro--g-h-mcwilliam/9780140449303,9780140449303,https://cdn.penguin.co.uk/dam-assets/books/9780140449303/9780140449303-jacket-large.jpg
35314,The Desert Fathers,,https://www.penguin.co.uk/books/35314/the-desert-fathers-by-edited-and-trans-by--benedicta-ward/9780140447316,9780140447316,https://cdn.penguin.co.uk/dam-assets/books/9780140447316/9780140447316-jacket-large.jpg
60350,The Fall of the House of Usher and Other Writings,Edgar Allan Poe,https://www.penguin.co.uk/books/60350/the-fall-of-the-house-of-usher-and-other-writings-by-poe-edgar-allan/9780141439815,9780141439815,https://cdn.penguin.co.uk/dam-assets/books/9780141439815/9780141439815-jacket-large.jpg
35484,The Last Days of Socrates,Plato,https://www.penguin.co.uk/books/35484/the-last-days-of-socrates-by-plato-trans-hugh-tredennick-trans-harold-tarrant-intro-harold-tarrant/9780140449280,9780140449280,https://cdn.penguin.co.uk/dam-assets/books/9780140449280/9780140449280-jacket-large.jpg
60349,"The Life and Opinions of Tristram Shandy, Gentleman",Laurence Sterne,https://www.penguin.co.uk/books/60349/the-life-and-opinions-of-tristram-shandy-gentleman-by-sterne-laurence/9780141439778,9780141439778,https://cdn.penguin.co.uk/dam-assets/books/9780141439778/9780141439778-jacket-large.jpg
55981,The Mayor of Casterbridge,Thomas Hardy,https://www.penguin.co.uk/books/55981/the-mayor-of-casterbridge-by-thomas-hardy-ed-keith-wilson/9780141439785,9780141439785,https://cdn.penguin.co.uk/dam-assets/books/9780141439785/9780141439785-jacket-large.jpg
34458,Barnaby Rudge,Charles Dickens,https://www.penguin.co.uk/books/34458/barnaby-rudge-by-charles-dickens-ed-john-bowen/9780140437287,9780140437287,https://cdn.penguin.co.uk/dam-assets/books/9780140437287/9780140437287-jacket-large.jpg
35487,Beowulf,,https://www.penguin.co.uk/books/35487/beowulf-by-michael-alexander/9780140449310,9780140449310,https://cdn.penguin.co.uk/dam-assets/books/9780140449310/9780140449310-jacket-large.jpg
35479,Beyond Good and Evil,Friedrich Nietzsche,https://www.penguin.co.uk/books/35479/beyond-good-and-evil-by-nietzsche-friedrich/9780140449235,9780140449235,https://cdn.penguin.co.uk/dam-assets/books/9780140449235/9780140449235-jacket-large.jpg
55979,Far from the Madding Crowd,Thomas Hardy,https://www.penguin.co.uk/books/55979/far-from-the-madding-crowd-by-thomas-hardy-intro-rosemarie-morgan-ed-shannon-russell/9780141439655,9780141439655,https://cdn.penguin.co.uk/dam-assets/books/9780141439655/9780141439655-jacket-large.jpg
56169,Hard Times,Charles Dickens,https://www.penguin.co.uk/books/56169/hard-times-by-charles-dickens-intro-and-notes-kate-flint/9780141439679,9780141439679,https://cdn.penguin.co.uk/dam-assets/books/9780141439679/9780141439679-jacket-large.jpg
62240,Moby-Dick,Herman Melville,https://www.penguin.co.uk/books/62240/moby-dick-by-herman-melville-intro-andrew-delbanco-notes-tom-quirk-commentary-tom-quirk/9780142437247,9780142437247,https://cdn.penguin.co.uk/dam-assets/books/9780142437247/9780142437247-jacket-large.jpg
33859,Paradise Lost,John Milton,https://www.penguin.co.uk/books/33859/paradise-lost-by-john-milton-ed-professor-john-leonard-intro-professor-john-leonard/9780140424393,9780140424393,https://cdn.penguin.co.uk/dam-assets/books/9780140424393/9780140424393-jacket-large.jpg
34384,Selected Essays,Samuel Johnson,https://www.penguin.co.uk/books/34384/selected-essays-by-samuel-johnson-ed-david-womersley/9780140436273,9780140436273,https://cdn.penguin.co.uk/dam-assets/books/9780140436273/9780140436273-jacket-large.jpg
35480,The Brothers Karamazov,Fyodor Dostoyevsky,https://www.penguin.co.uk/books/35480/the-brothers-karamazov-by-fyodor-dostoyevsky-trans-david-mcduff-intro-david-mcduff/9780140449242,9780140449242,https://cdn.penguin.co.uk/dam-assets/books/9780140449242/9780140449242-jacket-large.jpg
60343,The Complete Short Fiction,Oscar Wilde,https://www.penguin.co.uk/books/60343/the-complete-short-fiction-by-oscar-wilde-ed-ian-small-intro-ian-small/9780141439693,9780141439693,https://cdn.penguin.co.uk/dam-assets/books/9780141439693/9780141439693-jacket-large.jpg
62039,The Divine Comedy,Dante Alighieri,https://www.penguin.co.uk/books/62039/the-divine-comedy-by-dante-alighieri-trans-with-comm-mark-musa-intro-and-notes-mark-musa/9780142437223,9780142437223,https://cdn.penguin.co.uk/dam-assets/books/9780142437223/9780142437223-jacket-large.jpg
60341,The Mill on the Floss,George Eliot,https://www.penguin.co.uk/books/60341/the-mill-on-the-floss-by-george-eliot-ed--a-s-byatt-intro--a-s-byatt/9780141439624,9780141439624,https://cdn.penguin.co.uk/dam-assets/books/9780141439624/9780141439624-jacket-large.jpg
54791,The Strange Case of Dr Jekyll and Mr Hyde and Other Tales of Terror,Robert Louis Stevenson,https://www.penguin.co.uk/books/54791/the-strange-case-of-dr-jekyll-and-mr-hyde-and-other-tales-of-terror-by-robert-louis-stevenson-ed--robert-mighall/9780141439730,9780141439730,https://cdn.penguin.co.uk/dam-assets/books/9780141439730/9780141439730-jacket-large.jpg
35483,The Symposium,Plato,https://www.penguin.co.uk/books/35483/the-symposium-by-plato-trans-christopher-gill-intro-christopher-gill/9780140449273,9780140449273,https://cdn.penguin.co.uk/dam-assets/books/9780140449273/9780140449273-jacket-large.jpg
60340,The Woman in White,Wilkie Collins,https://www.penguin.co.uk/books/60340/the-woman-in-white-by-wilkie-collins-ed-matthew-sweet-intro-matthew-sweet/9780141439617,9780141439617,https://cdn.penguin.co.uk/dam-assets/books/9780141439617/9780141439617-jacket-large.jpg
56171,A Tale of Two Cities,Charles Dickens,https://www.penguin.co.uk/books/56171/a-tale-of-two-cities-by-charles-dickens-intro-and-notes-richard-maxwell/9780141439600,9780141439600,https://cdn.penguin.co.uk/dam-assets/books/9780141439600/9780141439600-jacket-large.jpg
35473,Anna Karenina,Leo Tolstoy,https://www.penguin.co.uk/books/35473/anna-karenina-by-leo-tolstoy-trans--richard-pevear-trans-larissa-volokhonsky-intro--richard-pevear-preface-john-bayley/9780140449174,9780140449174,https://cdn.penguin.co.uk/dam-assets/books/9780140449174/9780140449174-jacket-large.jpg
35469,Crime and Punishment,Fyodor Dostoyevsky,https://www.penguin.co.uk/books/35469/crime-and-punishment-by-fyodor-dostoyevsky-trans-david-mcduff/9780140449136,9780140449136,https://cdn.penguin.co.uk/dam-assets/books/9780140449136/9780140449136-jacket-large.jpg
35465,Don Quixote,Miguel Cervantes,https://www.penguin.co.uk/books/35465/don-quixote-by-miguel-cervantes-edited-and-trans-by-john-rutherford/9780140449099,9780140449099,https://cdn.penguin.co.uk/dam-assets/books/9780140449099/9780140449099-jacket-large.jpg
55587,Frankenstein,Mary Shelley,https://www.penguin.co.uk/books/55587/frankenstein-by-mary-shelley-ed-maurice-hindle/9780141439471,9780141439471,https://cdn.penguin.co.uk/dam-assets/books/9780141439471/9780141439471-jacket-large.jpg
60338,Great Expectations,Charles Dickens,https://www.penguin.co.uk/books/60338/great-expectations-by-charles-dickens-ed-charlotte-mitchell-intro-david-trotter/9780141439563,9780141439563,https://cdn.penguin.co.uk/dam-assets/books/9780141439563/9780141439563-jacket-large.jpg
60334,Gulliver's Travels,Jonathan Swift,https://www.penguin.co.uk/books/60334/gullivers-travels-by-jonathan-swift-ed-robert-demaria/9780141439495,9780141439495,https://cdn.penguin.co.uk/dam-assets/books/9780141439495/9780141439495-jacket-large.jpg
35389,Lysistrata and Other Plays,Aristophanes,https://www.penguin.co.uk/books/35389/lysistrata-and-other-plays-by-aristophanes-trans--alan-h-sommerstein/9780140448146,9780140448146,https://cdn.penguin.co.uk/dam-assets/books/9780140448146/9780140448146-jacket-large.jpg
35468,Madame Bovary,Gustave Flaubert,https://www.penguin.co.uk/books/35468/madame-bovary-by-gustave-flaubert-trans-geoffrey-wall/9780140449129,9780140449129,https://cdn.penguin.co.uk/dam-assets/books/9780140449129/9780140449129-jacket-large.jpg
60337,Middlemarch,George Eliot,https://www.penguin.co.uk/books/60337/middlemarch-by-george-eliot-ed-rosemary-ashton-intro-rosemary-ashton/9780141439549,9780141439549,https://cdn.penguin.co.uk/dam-assets/books/9780141439549/9780141439549-jacket-large.jpg
60335,Pygmalion,George Bernard Shaw,https://www.penguin.co.uk/books/60335/pygmalion-by-george-bernard-shaw-intro--nicholas-grene/9780141439501,9780141439501,https://cdn.penguin.co.uk/dam-assets/books/9780141439501/9780141439501-jacket-large.jpg
